/usr/bin/python3.10 /home/reto/workspace/villa_availability/src/villa_availabitlity/main.py
********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
********************************
Your choice: 2
--- Show NMB data ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          | Jan 2025 | Feb 2025 | Mar 2025 | Apr 2025 | May 2025 | Jun 2025 |  Average |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Luxury Villa Madison Garden    |     48.4 |     92.9 |     41.9 |      0.0 |      0.0 |     23.3 |     34.4 |
| Luxury Villa Silversands       |    100.0 |    100.0 |     90.3 |     10.0 |      0.0 |      0.0 |     50.1 |
| Luxusvilla Caloo               |      0.0 |      0.0 |     80.6 |      0.0 |     22.6 |      0.0 |     17.2 |
| Luxusvilla Horizon             |    100.0 |     96.4 |     90.3 |     50.0 |      3.2 |      0.0 |     56.7 |
| Villa Aquamarine               |     74.2 |    100.0 |     90.3 |     46.7 |     58.1 |     53.3 |     70.4 |
| Villa Athene                   |    100.0 |    100.0 |    100.0 |     56.7 |      0.0 |      0.0 |     59.4 |
| Villa Bella Luna               |     83.9 |     96.4 |     93.5 |     93.3 |     64.5 |     40.0 |     78.6 |
| Villa Blue Island              |     54.8 |    100.0 |     96.8 |     36.7 |      0.0 |      0.0 |     48.0 |
| Villa Blue Moon                |    100.0 |    100.0 |    100.0 |     96.7 |     35.5 |      0.0 |     72.0 |
| Villa Bon Voyage               |     29.0 |    100.0 |     96.8 |     90.0 |     35.5 |      0.0 |     58.5 |
| Villa Bright Side              |     83.9 |    100.0 |     80.6 |     36.7 |      0.0 |      0.0 |     50.2 |
| Villa Cape Royal               |    100.0 |    100.0 |    100.0 |     96.7 |     58.1 |     46.7 |     83.6 |
| Villa Cape Supreme             |     71.0 |     96.4 |    100.0 |     93.3 |     48.4 |      0.0 |     68.2 |
| Villa Chamo                    |    100.0 |    100.0 |     90.3 |     50.0 |     54.8 |      3.3 |     66.4 |
| Villa Clifton Bay              |     54.8 |     96.4 |     96.8 |      3.3 |     45.2 |      0.0 |     49.4 |
| Villa Coral Cay                |     67.7 |     96.4 |    100.0 |     20.0 |     48.4 |     70.0 |     67.1 |
| Villa Cozy Island              |    100.0 |    100.0 |     96.8 |    100.0 |     61.3 |     43.3 |     83.6 |
| Villa Dakota                   |    100.0 |    100.0 |    100.0 |     96.7 |     67.7 |      0.0 |     77.4 |
| Villa Genesis                  |    100.0 |     82.1 |    100.0 |     70.0 |     74.2 |      0.0 |     71.1 |
| Villa Harbour View             |     35.5 |     96.4 |     90.3 |     56.7 |      0.0 |      0.0 |     46.5 |
| Villa Henderson                |     87.1 |      3.6 |     77.4 |     70.0 |    100.0 |      3.3 |     56.9 |
| Villa Hummingbird              |     87.1 |    100.0 |     96.8 |    100.0 |     51.6 |      0.0 |     72.6 |
| Villa Infinity                 |     51.6 |     82.1 |     67.7 |     43.3 |      0.0 |      0.0 |     40.8 |
| Villa Liberty                  |     83.9 |    100.0 |     96.8 |     90.0 |     61.3 |      0.0 |     72.0 |
| Villa Lifetime                 |     67.7 |    100.0 |    100.0 |     86.7 |     90.3 |     90.0 |     89.1 |
| Villa Living Coral             |    100.0 |    100.0 |    100.0 |     86.7 |     83.9 |      3.3 |     79.0 |
| Villa Long Island              |     19.4 |    100.0 |    100.0 |     43.3 |     58.1 |     33.3 |     59.0 |
| Villa Lugano                   |     54.8 |    100.0 |    100.0 |    100.0 |     58.1 |      0.0 |     68.8 |
| Villa Lumina                   |    100.0 |    100.0 |    100.0 |     83.3 |     45.2 |     50.0 |     79.7 |
| Villa Maverick                 |     77.4 |    100.0 |    100.0 |     90.0 |     87.1 |     93.3 |     91.3 |
| Villa Mayflower                |     90.3 |    100.0 |     96.8 |      3.3 |      0.0 |      0.0 |     48.4 |
| Villa Next Generation          |     12.9 |     75.0 |     96.8 |     26.7 |     22.6 |      0.0 |     39.0 |
| Villa Next Level               |    100.0 |    100.0 |     74.2 |     76.7 |      0.0 |      0.0 |     58.5 |
| Villa Ocean Dream              |     77.4 |      3.6 |     74.2 |     63.3 |    100.0 |     63.3 |     63.6 |
| Villa Pelican Bay              |     64.5 |    100.0 |     96.8 |     83.3 |      0.0 |     23.3 |     61.3 |
| Villa Pink Lemonade            |     38.7 |    100.0 |     93.5 |    100.0 |     54.8 |      0.0 |     64.5 |
| Villa Pura Vida                |     58.1 |    100.0 |      3.2 |     50.0 |      0.0 |      0.0 |     35.2 |
| Villa River Pearl - direct riv |     64.5 |    100.0 |     93.5 |    100.0 |     83.9 |      0.0 |     73.7 |
| Villa Royal Residence          |     93.5 |    100.0 |     83.9 |     70.0 |     35.5 |      0.0 |     63.8 |
| Villa Ruby Sunset              |     64.5 |    100.0 |     61.3 |     76.7 |     61.3 |     26.7 |     65.1 |
| Villa Sansibar Breeze          |      0.0 |     25.0 |     25.8 |      0.0 |      0.0 |      0.0 |      8.5 |
| Villa Sea Shell                |     54.8 |    100.0 |     90.3 |     90.0 |     29.0 |     33.3 |     66.3 |
| Villa Secret Pearl             |     96.8 |    100.0 |    100.0 |     70.0 |    100.0 |     56.7 |     87.2 |
| Villa Skyshine                 |     80.6 |    100.0 |    100.0 |     86.7 |      0.0 |      3.3 |     61.8 |
| Villa Summerwind               |    100.0 |    100.0 |    100.0 |     93.3 |     64.5 |      0.0 |     76.3 |
| Villa Sunbreeze                |    100.0 |    100.0 |    100.0 |     76.7 |     96.8 |     56.7 |     88.4 |
| Villa Sunlight                 |     77.4 |    100.0 |    100.0 |    100.0 |     87.1 |      0.0 |     77.4 |
| Villa Sunny Island             |     67.7 |     25.0 |      0.0 |    100.0 |    100.0 |     23.3 |     52.7 |
| Villa Sunshine                 |     77.4 |    100.0 |     90.3 |      0.0 |      0.0 |     73.3 |     56.8 |
| Villa Tranquil Sands           |     96.8 |     96.4 |     90.3 |    100.0 |     74.2 |     43.3 |     83.5 |
| Villa Whispering Palms         |     96.8 |    100.0 |     90.3 |     23.3 |     83.9 |      0.0 |     65.7 |
| Villa White Shell              |     77.4 |    100.0 |     54.8 |    100.0 |     90.3 |      0.0 |     70.4 |
| Villa Winking Owl              |     90.3 |     50.0 |     71.0 |     36.7 |    100.0 |     83.3 |     71.9 |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
/home/reto/workspace/villa_availability/src/villa_availabitlity/common.py:163: UserWarning: Tight layout not applied. The bottom and top margins cannot be made large enough to accommodate all axes decorations.
  plt.tight_layout()
--- Show Intervilla data ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          | Jan 2025 | Feb 2025 | Mar 2025 | Apr 2025 | Mai 2025 | Jun 2025 |  Average |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Bella Villa 141                |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |
| Celebration House              |     51.6 |     96.4 |    100.0 |    100.0 |    100.0 |    100.0 |     91.3 |
| Hemingway by the Sea           |    100.0 |    100.0 |    100.0 |     83.3 |     22.6 |      0.0 |     67.7 |
| The Barefoot Oasis             |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |     30.0 |     88.3 |
| The Britannia Lake House       |     90.3 |    100.0 |     96.8 |     20.0 |      3.2 |      0.0 |     51.7 |
| Villa 4Dreamers                |     35.5 |    100.0 |     96.8 |     20.0 |     96.8 |      0.0 |     58.2 |
| Villa 8Lakes                   |    100.0 |    100.0 |    100.0 |    100.0 |     48.4 |     23.3 |     78.6 |
| Villa Aguabella                |     87.1 |      0.0 |     48.4 |      0.0 |     51.6 |      0.0 |     31.2 |
| Villa Alica                    |     71.0 |     96.4 |    100.0 |    100.0 |     41.9 |      0.0 |     68.2 |
